العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها_encoded,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟_encoded,هل يمكنك الدراسة في جامعة خاصة؟_encoded,القدرة المادية للعائلة_encoded,cluster
17,2,1,2,1,1,1,1,3,1,2,4,1,5,5,3,5,5,1,1,4,1,4,5,8,8,0,1,1,1,1,82.0,100.0,85.0,75.0,81.0,0,1,5,0.0,0.5,0.5,0,0
17,2,1,2,1,5,4,1,1,4,1,4,5,5,1,5,5,5,1,1,1,1,4,2,5,7,0,1,3,1,2,80.0,60.0,70.0,75.0,65.0,1,1,2,0.0,0.5,0.5,1,1
17,2,1,2,2,5,4,2,5,5,1,4,5,5,1,5,5,5,5,1,1,1,1,5,3,2,0,1,3,1,1,75.0,82.0,75.0,91.0,85.0,1,1,5,0.0,0.5,0.5,0,1
17,2,1,2,3,5,3,2,3,5,3,4,1,3,1,1,5,5,1,1,1,1,4,8,5,8,0,1,2,1,2,80.0,70.0,50.0,80.0,50.0,1,1,8,0.0,0.5,0.5,1,1
17,2,1,2,1,5,3,5,2,3,1,1,2,4,1,5,5,5,1,1,1,1,2,1,5,8,0,1,3,0,1,83.0,95.0,90.0,78.0,50.0,1,1,0,0.0,0.0,0.5,0,1
17,2,1,1,3,5,4,4,3,5,1,5,3,5,1,5,5,5,1,1,3,1,2,2,1,3,2,1,4,0,2,70.0,100.0,55.0,65.0,40.0,1,2,1,1.0,0.0,1.0,1,1
17,2,1,2,1,5,3,3,2,3,1,2,3,2,1,5,5,5,1,1,1,1,2,1,6,8,1,1,1,1,2,70.0,90.0,70.0,95.0,93.0,1,1,1,0.5,0.5,0.5,1,1
17,2,1,2,1,5,3,4,4,5,1,5,1,3,3,1,5,5,1,1,1,1,1,2,5,1,0,8,1,0,2,60.0,70.0,60.0,80.0,75.0,0,2,0,0.0,0.0,1.0,1,1
17,2,1,2,3,4,4,3,4,1,3,5,1,4,1,4,3,5,1,1,1,1,4,1,5,2,0,5,1,2,2,50.0,73.0,75.0,50.0,50.0,0,1,0,0.0,1.0,0.5,1,1
17,2,1,2,3,5,3,5,5,4,3,4,5,4,4,5,1,4,3,2,1,1,1,1,2,8,0,1,1,2,1,70.0,65.0,80.0,60.0,90.0,1,1,2,0.0,1.0,0.5,0,1
17,2,1,2,3,2,1,2,3,2,3,1,4,3,5,1,5,2,1,1,1,1,1,7,5,6,2,8,3,0,2,65.0,73.0,90.0,75.0,75.0,0,1,0,1.0,0.0,0.5,1,2
17,2,1,12,4,5,5,3,5,5,1,5,1,1,1,2,1,5,5,2,2,1,1,1,2,8,0,1,3,0,2,90.0,100.0,100.0,94.0,100.0,1,0,0,0.0,0.0,0.0,1,1
17,2,1,2,2,3,1,3,3,1,5,3,5,3,1,3,5,5,1,4,4,1,1,2,5,1,2,1,2,0,2,95.0,95.0,75.0,80.0,60.0,0,1,0,1.0,0.0,0.5,1,0
17,2,1,2,4,5,4,5,3,4,1,4,3,4,1,5,5,5,5,1,1,1,1,1,4,2,1,1,3,0,2,75.0,90.0,85.0,85.0,70.0,0,1,1,0.5,0.0,0.5,1,1
17,2,1,2,3,5,5,1,4,3,4,5,2,4,1,1,5,5,1,1,1,1,4,1,2,5,0,6,4,1,2,75.0,70.0,80.0,70.0,60.0,1,2,0,0.0,0.5,1.0,1,1
17,2,1,2,5,3,4,4,5,1,1,2,5,5,1,5,5,5,1,3,4,1,4,1,3,5,0,8,4,0,2,50.0,70.0,80.0,80.0,70.0,1,1,1,0.0,0.0,0.5,1,0
17,2,1,2,5,5,3,5,3,5,1,2,1,2,5,5,1,5,5,4,1,1,1,1,3,8,0,1,3,0,2,80.0,90.0,90.0,95.0,98.0,0,1,1,0.0,0.0,0.5,1,1
17,2,1,5,4,5,5,5,4,5,3,2,1,3,1,5,5,5,1,4,1,1,4,1,4,5,0,1,1,0,2,85.0,80.0,100.0,95.0,100.0,1,2,1,0.0,0.0,1.0,1,1
17,2,1,2,1,3,4,5,5,4,1,3,5,3,1,5,5,5,2,2,1,1,4,1,2,7,0,1,1,0,2,100.0,90.0,100.0,90.0,70.0,1,2,1,0.0,0.0,1.0,1,1
17,2,1,2,2,5,5,3,5,3,2,5,1,1,1,5,5,5,1,1,1,1,4,1,3,4,0,1,1,0,2,85.0,100.0,100.0,80.0,85.0,1,1,1,0.0,0.0,0.5,1,1
17,2,1,2,3,4,5,5,5,3,3,1,1,1,1,5,5,5,1,1,1,1,2,1,2,3,1,1,1,0,2,85.0,100.0,100.0,90.0,75.0,0,2,1,0.5,0.0,1.0,1,1
17,2,2,2,1,1,1,2,1,5,2,2,4,5,1,1,1,5,5,1,2,1,1,5,8,8,0,5,1,0,2,30.0,0.0,0.0,90.0,70.0,0,0,5,0.0,0.0,0.0,1,2
17,2,2,11,2,1,3,4,2,5,4,2,5,5,5,1,1,5,1,1,1,1,1,7,5,6,1,5,2,2,1,45.0,0.0,0.0,70.0,50.0,1,0,0,0.5,1.0,0.0,0,2
17,2,2,2,1,1,1,2,1,5,3,2,1,5,5,1,3,4,5,3,2,4,4,5,4,8,0,5,4,2,2,50.0,0.0,0.0,80.0,30.0,0,2,5,0.0,1.0,1.0,1,2
17,2,2,1,1,2,1,2,1,5,4,1,5,5,5,1,5,5,5,1,1,1,1,5,7,8,1,5,3,1,2,38.0,0.0,0.0,90.0,45.0,1,1,5,0.5,0.5,0.5,1,2
17,2,2,2,2,1,1,1,2,2,3,4,2,5,5,1,5,4,5,3,3,4,4,5,4,8,1,5,3,2,1,60.0,0.0,0.0,85.0,70.0,1,0,5,0.5,1.0,0.0,0,2
17,2,2,14,3,1,1,1,1,5,3,4,5,5,3,1,1,5,1,1,1,1,1,8,7,5,0,8,3,1,2,25.0,0.0,0.0,75.0,85.0,1,2,0,0.0,0.5,1.0,1,2
17,2,2,2,1,1,1,1,1,5,5,2,4,5,5,1,5,5,2,1,1,1,4,7,6,5,0,6,1,1,2,50.0,0.0,0.0,60.0,40.0,1,1,7,0.0,0.5,0.5,1,2
17,2,2,9,2,3,1,1,1,5,3,1,2,2,5,1,5,1,5,2,4,1,1,8,8,8,2,1,1,1,2,85.0,0.0,0.0,20.0,100.0,1,2,0,1.0,0.5,1.0,1,2
17,2,2,2,1,1,5,5,5,5,5,5,3,5,5,1,1,4,1,2,1,1,1,5,8,8,0,5,1,1,2,75.0,0.0,0.0,80.0,90.0,0,0,5,0.0,0.5,0.0,1,2
17,2,2,1,1,1,1,1,1,3,3,5,5,3,5,1,5,1,1,1,1,1,4,5,4,7,1,8,1,1,2,75.0,0.0,0.0,20.0,80.0,0,0,4,0.5,0.5,0.0,1,2
17,2,2,2,2,1,1,1,1,3,1,3,3,5,1,1,5,5,3,2,3,1,1,5,7,8,0,5,4,0,2,70.0,0.0,0.0,70.0,80.0,1,2,0,0.0,0.0,1.0,1,2
17,2,2,11,1,4,3,4,2,1,2,1,4,3,1,1,1,5,5,2,2,1,1,2,5,8,0,1,1,2,2,65.0,0.0,0.0,70.0,70.0,1,2,0,0.0,1.0,1.0,1,2
17,2,2,2,1,3,2,2,2,5,5,1,3,5,2,1,5,5,2,1,1,1,1,5,8,8,0,5,1,0,2,65.0,0.0,0.0,60.0,80.0,0,1,0,0.0,0.0,0.5,1,2
17,2,2,9,5,2,1,3,1,3,4,1,1,1,5,1,1,5,5,2,2,2,1,6,8,8,2,1,1,1,1,65.0,0.0,0.0,50.0,75.0,1,2,8,1.0,0.5,1.0,0,2
17,2,1,2,4,5,5,5,5,5,2,5,2,3,1,4,5,5,1,1,3,1,4,2,1,8,2,2,1,2,2,75.0,50.0,60.0,80.0,75.0,1,2,0,1.0,1.0,1.0,1,1
17,2,2,2,1,1,1,1,1,5,4,1,1,5,5,1,1,5,5,1,1,1,1,8,8,8,2,1,1,2,1,40.0,0.0,0.0,80.0,90.0,1,0,0,1.0,1.0,0.0,0,2
17,2,1,2,3,5,5,5,5,4,2,4,1,3,1,5,5,5,3,2,1,1,2,1,8,8,0,1,1,1,2,78.0,100.0,85.0,80.0,95.0,1,2,0,0.0,0.5,1.0,1,1
18,2,1,2,1,5,3,5,5,4,1,1,1,1,1,5,1,5,5,1,1,1,1,1,2,3,0,1,1,0,1,70.0,70.0,65.0,80.0,65.0,0,0,1,0.0,0.0,0.0,0,1
17,2,1,2,3,3,5,5,5,5,3,3,5,3,4,5,3,5,1,3,3,1,3,1,8,7,0,1,4,2,2,76.0,70.0,100.0,100.0,98.0,1,1,0,0.0,1.0,0.5,1,1
17,2,1,1,3,3,4,5,3,1,1,1,2,1,1,5,2,5,1,2,1,1,3,1,3,2,0,1,1,2,1,74.0,70.0,75.0,65.0,65.0,1,0,1,0.0,1.0,0.0,0,1
17,2,1,2,3,5,5,5,5,2,1,2,1,5,1,5,1,5,1,1,2,1,3,1,8,8,0,1,1,2,2,93.0,100.0,84.0,70.0,70.0,0,0,1,0.0,1.0,0.0,1,1
17,2,1,2,4,3,2,5,5,4,2,2,2,4,3,3,5,5,4,3,3,4,3,1,2,5,0,1,1,2,1,78.0,80.0,80.0,50.0,40.0,1,0,1,0.0,1.0,0.0,0,0
18,2,1,2,3,2,5,4,4,4,5,4,3,3,5,3,5,5,5,1,1,1,1,4,7,6,2,1,1,2,2,70.0,60.0,60.0,75.0,95.0,1,2,4,1.0,1.0,1.0,1,1
